CUST_GROUP,CUST_NAME,COUNTRY_NAME,SALES_REP,TEAM,FOCUS
TRILLIUM HEALTH CARE PRODUCTS INC.,TRILLIUM HEALTH CARE PRODUCTS INC.,UNITED STATES OF AMERICA,Danielle J.,Americas,true
TRIMA,TRIMA,ISRAEL,Sanjay C.,IMEA,false
TRIMA,"TRIMA ISRAEL PHARMACEUTICAL PRODUCTS, MAABAROT LTD",ISRAEL,Sanjay C.,IMEA,false
Tropical Labs,Tropical Labs,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TRUE NORTH ORGANICS,TRUE NORTH ORGANICS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TTI,TOBACCO TECHNOLOGY INC.,UNITED STATES OF AMERICA,Danielle J.,Americas,false
TTI,TTI FLAVORS,ITALY,Gwenn B.,Americas,false
TTM,TOBACCO AUTHORITY OF THAILAND,THAILAND,Kanda W.,SEA,false
TUOWEI GUAGNZHOU BIOTECHNOLOGY,TUOWEI GUAGNZHOU BIOTECHNOLOGY,CHINA,Haibin Y.,China/Japan,false
Turning Point Brands,Turning Point Brands,UNITED STATES OF AMERICA,Danielle J.,Americas,false
TWINS MANUFACTURING CHEMISTS,TWINS MANUFACTURING CHEMISTS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
Tyrian Health,Tyrian Health,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"U.S. Chemicals, LLC","U.S. Chemicals, LLC",UNITED STATES OF AMERICA,Danielle J.,Americas,false
U.S. Spice Mills,U.S. Spice Mills,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"UCB Pharma (Zhuhai) Co., Ltd","UCB Pharma (Zhuhai) Co., Ltd",CHINA,Jessie H.,China/Japan,false
UNICORN,UNICORN NUTRITION PRIVATE,INDIA,Sanjay C.,IMEA,true
UNICORN,UNICORN NUTRITION PVT LMT,INDIA,Sanjay C.,IMEA,true
UNICORN,UnicornNutritionPrivateLimited,INDIA,Sanjay C.,IMEA,true
UNICORN,UnicornNutritionPrivateLimited,UNITED STATES OF AMERICA,Sanjay C.,IMEA,true
UNIFECT LTD,UNIFECT LTD,ISRAEL,Gwenn B.,Europe,false
UNIFECT LTD,UNIFECT LTD,UNITED KINGDOM,Gwenn B.,Europe,false
"UNION FOOD CO.,LTD","UNION FOOD CO.,LTD",CHINA,Jessie H.,China/Japan,false
United Laboratories Mfg LLC,United Laboratories Mfg LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
UNITED ROMANIAN BREWERIES,UNITED ROMANIAN BREWERIES,ROMANIA,Florian M.,Europe,false
UNITHER MANUFACTURING LLC,UNITHER MANUFACTURING LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"Universal Ingredients – Shank’s",Universal Ingredients â€“ Shankâ€™s,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"Universal Preserv-A-Chem, Inc.","Universal Preserv-A-Chem, Inc.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
UST MFG LLC,UST MFG LLC,UNITED STATES OF AMERICA,Danielle J.,Americas,false
VAE LABS INC,VAE LABS INC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VAE LABS INC,VAE LABS INC,CANADA,Kelli M.,Americas,false
VALEO,VALEO CONFECTIONERY LTD,UNITED KINGDOM,Gwenn B.,Europe,false
VALIMENTA LABS,VALIMENTA LABS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VENETO S.A.,VENETO S.A.,PARAGUAY,Florian M.,Europe,false
Ventura,VENTURA FOODS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VERDIER BONBONS,VERDIER BONBONS,FRANCE,Florian M.,Europe,false
Veterinary Pharmaceutical Solutions,Veterinary Pharmaceutical Solutions,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VICI HEALTH SCIENCES,VICI HEALTH SCIENCES,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VICTORIA'S CANDY,VICTORIA'S CANDY,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"Vigon International, LLC.","Vigon International, LLC.",UNITED STATES OF AMERICA,Danielle J.,Americas,false
VILFEU PERE ET FILS,VILFEU PERE ET FILS,FRANCE,Florian M.,Europe,false
"Virginia Dare Extract Co., Inc","Virginia Dare Extract Co., Inc",UNITED STATES OF AMERICA,Danielle J.,Americas,true
VITALITY WORKS,VITALITY WORKS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VIVIL,VIVIL,GERMANY,Gwenn B.,Europe,false
VIVION LLC,VIVION LLC,UNITED STATES OF AMERICA,Danielle J.,Americas,false
"Vivion Specialties Canada, ULC","Vivion Specialties Canada, ULC",CANADA,Danielle J.,Americas,false
"Volt Matrix, Inc.","Volt Matrix, Inc.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
Volunteer Botanicals,Volunteer Botanicals,UNITED STATES OF AMERICA,Kelli M.,Americas,false
VPAC LLC,VPAC LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
Wana Wellness,Wana Wellness,UNITED STATES OF AMERICA,Kelli M.,Americas,false
WANG RUI FENG,WANG RUI FENG,CHINA,Haibin Y.,China/Japan,false
WEIHAI MIERSAI COSMETICS CO.,WEIHAI MIERSAI COSMETICS CO.,CHINA,Haibin Y.,China/Japan,false
WELLINGTON FOODS INCORPORATED,WELLINGTON FOODS INCORPORATED,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"WILD FLAVORS, INC.","WILD FLAVORS, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
William Gibbs,William Gibbs,UNITED STATES OF AMERICA,Kelli M.,Americas,false
WINGS,PT.KARUNIA ALAM SEGAR,INDONESIA,Kanda W.,SEA,true
