database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12706-,TransformOneToOne,RESERVE-CONSIGNED PR,1202510,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12750-,TransformOneToOne,PHYSICAL INV. RESERV,1202510,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12803-,TransformOneToOne,IT INVENTORY,1201010,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12806-,TransformOneToOne,INVENTORY ABSORPTION,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12806-2340,TransformOneToOne,Cap Variances – Derivatives,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12806-2341,TransformOneToOne,Cap Variances - AG cake,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12806-2342,TransformOneToOne,Cap Variances - Dry/Wet Blend,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12901-,TransformOneToOne,WORK IN PROCESS INVE,1202000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12901-0001,TransformOneToOne,WORK IN PROCESS TOLL,1202000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-13001-1,TransformOneToOne,Prepaid Other,1250900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-13001-30,TransformOneToOne,PREPAID EXPENSE,1250900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-15902-,TransformOneToOne,EASY WORN ITEMS,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16102-,TransformOneToOne,FIXED ASSETS - BUILD,1530000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16108-,TransformOneToOne,FIXED ASSETS-WASTEWA,1530000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16300-,TransformOneToOne,FIXED ASSETS CGA PRO,1520000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16302-,TransformOneToOne,FIXED ASSETS MAG PRO,1520000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16303-,TransformOneToOne,FIXED ASSETS OTHER P,1520900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16304-,TransformOneToOne,FIXED ASSETS LAB EQU,1520020,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16305-,TransformOneToOne,FIXED ASSETS OFFICE,1520030,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16306-,TransformOneToOne,FIXED ASSETS IDLE AS,1520900,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16307-,TransformOneToOne,FIXED ASSETS LAND RI,1500000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16308-,TransformOneToOne,FIXED ASSETS-CAR,1520050,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16501-,TransformOneToOne,CUMULATIVE DEPRECIAT,1599000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16502-,TransformOneToOne,LAND RIGHT DEPRECIAT,1599000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16601-,TransformOneToOne,RESERVE FOR FIXED AS,1599000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16901-,TransformOneToOne,CONSTRUCTION IN PROC,1510000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-16901-1002,TransformOneToOne,CIP TRANSFER OUT,1510000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-17101-,TransformOneToOne,INTANGIBLE ASSETS,1870100,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-17102-,TransformOneToOne,INTANG-LAND RIGHTS,1729000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-17104-,TransformOneToOne,INTANGIBLE ASST. AMO,1870100,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20101-,TransformOneToOne,SHORT TERM BORROW,2106000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20102-,TransformOneToOne,INTERESTS PAYABLE,2153900,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-,TransformOneToOne,A/P THIRD PARTY,2150000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0001,TransformOneToOne,A/P-JV INTERCO,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0002,TransformOneToOne,A/P-MAF INTERCO,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0004,TransformOneToOne,PAYABLE S/L-TOLL PRO,2150000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0006,TransformOneToOne,A/P-EVD,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0022,TransformOneToOne,A/P-JV INTERCO- SMB,1150000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0023,TransformOneToOne,A/P-JV INTERCO - WF,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20301-0034,TransformOneToOne,A/P-JV INTERCO- EVD,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20302-,TransformOneToOne,A/P-OTHER,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20304-,TransformOneToOne,OTHER PAYABLES HOUSI,2150000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20305-,TransformOneToOne,OTHER PAY-TRADE UNIO,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20311-4,TransformOneToOne,OTHER PAYABLES-EMPLO,2153000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20401-,TransformOneToOne,ADVANCE FM WEI FENG,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20401-1,TransformOneToOne,ADVANCE PMT FM MAFCO,2381000,true,
